id,difficulty,gold,query,expected
1,Easy,ANSWER,Giá của Rau muống nước là bao nhiêu?,5.000đ/400g
2,Easy,ANSWER,Củ dền xuất xứ ở đâu?,Thông tin có trong mô tả sản phẩm (VN/Trung Quốc/Thái Lan...)
3,Easy,ANSWER,Cho tôi biết mã sản phẩm của Khoai tây củ từ 130g,2701122049200
4,Easy,ANSWER,Cà chua bi bao nhiêu tiền?,19.000đ/300g
5,Easy,ANSWER,Cho tôi biết mã sản phẩm của Nấm kim châm nội địa Trung,1233934000149
6,Easy,ANSWER,Giá của Cải bẹ xanh là bao nhiêu?,14.900đ/300g
7,Easy,ANSWER,Bí xanh bao nhiêu tiền?,15.000đ/1 trái từ 370g trở lên
8,Easy,ANSWER,Giá của Nấm bào ngư xám là bao nhiêu?,22.000đ/300g
9,Easy,ANSWER,Chanh không hạt bao nhiêu tiền?,8.500đ/250g
10,Easy,ANSWER,Cho tôi biết mã sản phẩm của Củ cải trắng,2701122048800
11,Easy,ANSWER,Giá của Củ dền là bao nhiêu?,11.100đ/300g
12,Easy,ANSWER,Cải thìa xuất xứ ở đâu?,Thông tin có trong mô tả sản phẩm (VN/Trung Quốc/Thái Lan...)
13,Easy,ANSWER,Cho tôi biết mã sản phẩm của Tiêu xanh,1233020000273
14,Easy,ANSWER,3 trái bắp mỹ bao nhiêu tiền?,24.000đ
15,Easy,ANSWER,Cho tôi biết mã sản phẩm của Bí đỏ tròn,9932844000175
16,Easy,ANSWER,Cà tím xuất xứ ở đâu?,Thông tin có trong mô tả sản phẩm (VN/Trung Quốc/Thái Lan...)
17,Easy,ANSWER,Giá của Rau muống nước là bao nhiêu?,5.000đ/400g
18,Easy,ANSWER,Giá của Đậu cove là bao nhiêu?,16.000đ/250g
19,Easy,ANSWER,Nấm rơm bao nhiêu tiền?,20.000đ/180-220g
20,Easy,ANSWER,Giá của Dưa leo là bao nhiêu?,10.500đ/500g
21,Easy,ANSWER,Đậu bắp bao nhiêu tiền?,9.000đ/250g
22,Easy,ANSWER,Giá của Cà tím là bao nhiêu?,14.800đ/500g
23,Easy,ANSWER,Giá của Chanh không hạt là bao nhiêu?,8.500đ/250g
24,Easy,ANSWER,Chanh không hạt bao nhiêu tiền?,8.500đ/250g
25,Easy,ANSWER,Cho tôi biết mã sản phẩm của Rau muống nước,1232844000831
26,Easy,ANSWER,Giá của Ớt chuông xanh-vàng-đỏ giao ngẫu nhiên là bao nhiêu?,17.500đ/250g
27,Easy,ANSWER,Giá của Cải thìa là bao nhiêu?,14.900đ/300g
