ID,User Query,Ground Truth,Chatbot Response,Self Assessment,Classification,Reason
1,Giá của Rau muống nước là bao nhiêu?,5.000đ/400g,"Chào bạn, rau muống nước hiện đang có giá 5.000đ cho 400g tại Bách Hóa Xanh nhé! Đây là loại rau rất giàu vitamin và khoáng chất, đặc biệt là vitamin A, C và sắt, rất tốt cho sức khỏe.

Dưới đây là một số sản phẩm rau muống nước đang có giá tốt:
Rau muống nước - 5.000đ/400g",Correct Answer,TP,"Chatbot trả lời đúng giá và khối lượng như mong đợi, kèm thông tin bổ ích."
2,Củ dền xuất xứ ở đâu?,Thông tin có trong mô tả sản phẩm (VN/Trung Quốc/Thái Lan...),"Chào bạn, củ dền (hay còn gọi là củ cải đường) có nguồn gốc từ vùng Địa Trung Hải. Ban đầu, người ta chỉ sử dụng lá của nó, sau này mới phát hiện ra giá trị dinh dưỡng và hương vị của phần củ. Hiện nay, củ dền được trồng phổ biến ở nhiều nơi trên thế giới, đặc biệt là các nước ôn đới và cận nhiệt đới.

Dưới đây là một số sản phẩm củ dền đang có giá tốt tại Bách Hóa Xanh:
Củ dền 7.000đ/200g
Củ dền 11.100đ/300g",Partially Correct,TP,"Chatbot trả lời nguồn gốc thực vật chung, không cung cấp xuất xứ sản phẩm cụ thể như mong đợi trong ngữ cảnh TMĐT."
3,Cho tôi biết mã sản phẩm của Khoai tây củ từ 130g,2701122049200,"Chào bạn, hiện tại mình chưa có thông tin mã sản phẩm cụ thể cho Khoai tây củ từ 130g. Tuy nhiên, mình có thể cung cấp thông tin về sản phẩm này nhé.

Dưới đây là một số sản phẩm Khoai tây củ từ đang có giá tốt:
Khoai tây củ từ 130g - 15.000đ/500g",Missed / Fallback,FN,"Chatbot nói không có thông tin mã sản phẩm, không trả lời được câu hỏi chính."
4,Cà chua bi bao nhiêu tiền?,19.000đ/300g,"Chào bạn, cà chua bi hiện đang có giá 19.000đ cho 300g nhé.

Dưới đây là một số sản phẩm cà chua bi đang có giá tốt:
Cà chua bi - 19.000đ/300g",Correct Answer,TP,Chatbot trả lời đúng trọng tâm và khớp hoàn toàn với thông tin mong đợi về giá cà chua bi.
5,Cho tôi biết mã sản phẩm của Nấm kim châm nội địa Trung,1233934000149,"Chào bạn, Nấm kim châm là một loại nấm rất được yêu thích bởi hương vị ngọt thanh, giòn dai và giá trị dinh dưỡng cao. Nấm kim châm giàu chất xơ, vitamin nhóm B, kali, sắt, giúp hỗ trợ tiêu hóa, tăng cường miễn dịch và tốt cho tim mạch. Bạn có thể dùng nấm kim châm để nấu lẩu, xào, làm salad hoặc cuộn thịt nướng đều rất ngon và hấp dẫn.

Hiện tại, Bách Hóa Xanh chưa tìm thấy sản phẩm Nấm kim châm nội địa Trung cụ thể mà bạn đang tìm. Tuy nhiên, cửa hàng đang có nhiều loại nấm nội địa Trung khác rất tươi ngon và chất lượng. Dưới đây là một số sản phẩm nấm nội địa Trung đang có giá tốt:
Nấm đùi gà baby nội địa Trung: 20.000đ/200g
Nấm linh chi nâu nội địa Trung: 17.000đ/150g
Nấm linh chi trắng nội địa Trung: 17.000đ/150g
Nấm đùi gà nội địa Trung: 26.000đ/500g (giảm 32%)
2 gói nấm hải sản nội địa Trung: 18.000đ/2 gói 150g (giảm 31%)",Missed / Fallback,FN,"Chatbot không cung cấp mã sản phẩm được yêu cầu, chỉ nói không tìm thấy."
6,Giá của Cải bẹ xanh là bao nhiêu?,14.900đ/300g,"Chào bạn, Cải bẹ xanh hiện đang có giá là 14.900đ cho 300g nhé.

Dưới đây là một số sản phẩm Cải bẹ xanh đang có giá tốt:
Cải bẹ xanh - 14.900đ/300g",Correct Answer,TP,Chatbot trả lời đúng giá và khối lượng sản phẩm Cải bẹ xanh như mong đợi.
7,Bí xanh bao nhiêu tiền?,15.000đ/1 trái từ 370g trở lên,"Chào bạn, Bí xanh là một loại rau củ rất tốt cho sức khỏe, giàu vitamin C, chất xơ và ít calo, giúp thanh nhiệt, giải độc và hỗ trợ tiêu hóa rất hiệu quả đó ạ!

Dưới đây là một số sản phẩm Bí xanh đang có giá tốt tại Bách Hóa Xanh:
Bí xanh: 9.000đ/500g (đang giảm 31%)
Bí xanh: 15.000đ/1 trái từ 370g trở lên
Bí xanh: 9.000đ/500g (đang giảm 31%)",Correct Answer,TP,"Chatbot trả lời đúng giá và khớp với thông tin mong đợi, cung cấp thêm lựa chọn."
8,Giá của Nấm bào ngư xám là bao nhiêu?,22.000đ/300g,"Chào bạn, Nấm bào ngư xám hiện đang có giá là 22.000đ cho 300g nhé.

Dưới đây là một số sản phẩm Nấm bào ngư xám đang có giá tốt:
Nấm bào ngư xám - 22.000đ/300g",Correct Answer,TP,"Chatbot trả lời đúng giá và khối lượng sản phẩm, khớp hoàn toàn với thông tin mong đợi."
9,Chanh không hạt bao nhiêu tiền?,8.500đ/250g,"Chào bạn, chanh không hạt hiện đang có giá 8.500đ cho 250g nhé!

Dưới đây là một số sản phẩm chanh không hạt đang có giá tốt:
Chanh không hạt: 8.500đ/250g",Correct Answer,TP,Chatbot trả lời đúng trọng tâm và khớp hoàn toàn với thông tin mong đợi.
10,Cho tôi biết mã sản phẩm của Củ cải trắng,2701122048800,"Chào bạn, hiện tại Bách Hóa Xanh chưa có thông tin mã sản phẩm cụ thể cho củ cải trắng. Tuy nhiên, mình có thông tin về sản phẩm củ cải trắng đang có tại cửa hàng đây ạ.

Dưới đây là một số sản phẩm Củ cải trắng đang có giá tốt:
- Củ cải trắng: 8.700đ/300g",Missed / Fallback,FN,"Chatbot không cung cấp mã sản phẩm được yêu cầu, nói không có thông tin."
